"id","title","url","date","source","summary"
"1139","“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”","https://quotes.toscrape.com/page/1/","2025-03-27","QuotesToScrape","Quote by Albert Einstein"
"1149","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","https://quotes.toscrape.com/page/2/","2025-03-27","QuotesToScrape","Quote by Marilyn Monroe"
"1159","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","https://quotes.toscrape.com/page/3/","2025-03-27","QuotesToScrape","Quote by Pablo Neruda"
"1169","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","https://quotes.toscrape.com/page/4/","2025-03-27","QuotesToScrape","Quote by Dr. Seuss"
"1179","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","https://quotes.toscrape.com/page/5/","2025-03-27","QuotesToScrape","Quote by George R.R. Martin"
"1189","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","https://quotes.toscrape.com/page/6/","2025-03-27","QuotesToScrape","Quote by Jane Austen"
"1199","“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”","https://quotes.toscrape.com/page/7/","2025-03-27","QuotesToScrape","Quote by Charles Bukowski"
"1209","“If I had a flower for every time I thought of you...I could walk through my garden forever.”","https://quotes.toscrape.com/page/8/","2025-03-27","QuotesToScrape","Quote by Alfred Tennyson"
"1219","“Anyone who has never made a mistake has never tried anything new.”","https://quotes.toscrape.com/page/9/","2025-03-27","QuotesToScrape","Quote by Albert Einstein"
"1229","“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”","https://quotes.toscrape.com/page/10/","2025-03-27","QuotesToScrape","Quote by J.K. Rowling"
"1239","Climate change and overfishing threaten Vietnam's tradition of making fish sauce","https://www.npr.org/2025/03/27/nx-s1-5342247/vietnam-fish-sauce-climate-change-overfishing","2025-03-27","NPR","Climate change and overfishing are making it harder to catch the anchovies essential to the condiment that underlies so much of Vietnam and southeast Asia's food."
"1240","Exhibit takes visitors inside the annex where Anne Frank lived","https://www.npr.org/2025/03/27/g-s1-56407/exhibit-takes-visitors-inside-the-annex-where-anne-frank-lived","2025-03-27","NPR","For the first time, a re-creation of the annex where Anne Frank and her family hid is available outside of Amsterdam. Visitors in New York said its themes reverberated in today's political climate."
